"target_end_date","target","location","model","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2021-04-24,"1 wk ahead inc death","01","BPagano-RtDriven","Alabama",16.53467,5.0774669173913,3.82394391304348,0,8.90141083043478
2021-04-24,"1 wk ahead inc death","01","CEID-Walk","Alabama",20.752,5.17664608695652,0,4.38878260869565,9.56542869565217
2021-04-24,"1 wk ahead inc death","01","Covid19Sim-Simulator","Alabama",9.5767815487125,1.21214384769374,0,4.72799956835933,5.94014341605306
2021-04-24,"1 wk ahead inc death","01","CovidAnalytics-DELPHI","Alabama",18,7.91188834268476,2.93235086850156,0,10.8442392111863
2021-04-24,"1 wk ahead inc death","01","COVIDhub-baseline","Alabama",17,9.69316304347826,0,2.9304347826087,12.623597826087
2021-04-24,"1 wk ahead inc death","01","COVIDhub-ensemble","Alabama",6,5.35608695652174,0,0.521739130434783,5.87782608695652
2021-04-24,"1 wk ahead inc death","01","CU-select","Alabama",18,7.02173913043478,1.1304347826087,0,8.15217391304348
2021-04-24,"1 wk ahead inc death","01","epiforecasts-ensemble1","Alabama",21.8333333333333,8.46368333333334,0,4.17101449275362,12.634697826087
2021-04-24,"1 wk ahead inc death","01","JHU_CSSE-DECOM","Alabama",9.71377461148006,4.73156029118905,0,0.686455458473718,5.41801574966277
2021-04-24,"1 wk ahead inc death","01","JHUAPL-Bucky","Alabama",30.6079437,4.86344941936522,11.1088277869565,0,15.9722772063217
2021-04-24,"1 wk ahead inc death","01","Karlen-pypm","Alabama",5,4.29869565217391,0,0.391304347826087,4.69
2021-04-24,"1 wk ahead inc death","01","KITmetricslab-select_ensemble","Alabama",4.487764970205,4.33840748431467,0.360606536634583,0,4.69901402094925
2021-04-24,"1 wk ahead inc death","01","LANL-GrowthRate","Alabama",2,8.39913043478261,0.0869565217391304,0,8.48608695652174
2021-04-24,"1 wk ahead inc death","01","MIT_CritData-GBCF","Alabama",28,0.198695652173913,0,28,28.1986956521739
2021-04-24,"1 wk ahead inc death","01","MOBS-GLEAM_COVID","Alabama",1.88871828905275,3.19562659517136,0,0.0821181864805545,3.27774478165192
2021-04-24,"1 wk ahead inc death","01","RobertWalraven-ESG","Alabama",20.89,5.44174782608696,0,5.63086956521739,11.0726173913043
2021-04-24,"1 wk ahead inc death","01","SteveMcConnell-CovidComplete","Alabama",3,5.34521739130435,0.130434782608696,0,5.47565217391304
2021-04-24,"1 wk ahead inc death","01","UA-EpiCovDA","Alabama",41,11.3991304347826,0,14.4782608695652,25.8773913043478
2021-04-24,"1 wk ahead inc death","01","UCSD_NEU-DeepGLEAM","Alabama",0.780813056314678,21.2754103323719,0.0339483937528121,0,21.3093587261247
2021-04-24,"1 wk ahead inc death","01","UMass-MechBayes","Alabama",3,5.90695652173913,0.130434782608696,0,6.03739130434783
2021-04-24,"1 wk ahead inc death","01","USC-SI_kJalpha","Alabama",22,3.73425259557128,0,6.41710358043373,10.151356176005
2021-04-24,"1 wk ahead inc death","02","BPagano-RtDriven","Alaska",4.21651,0.552167039130435,0,1.95381347826087,2.5059805173913
2021-04-24,"1 wk ahead inc death","02","CEID-Walk","Alaska",19.762,2.43513304347826,0,8.58304347826087,11.0181765217391
2021-04-24,"1 wk ahead inc death","02","Covid19Sim-Simulator","Alaska",2.32719702309794,0.0683318306108196,0,1.83506493070734,1.90339676131816
2021-04-24,"1 wk ahead inc death","02","CovidAnalytics-DELPHI","Alaska",3,2.12454278690102,0,0.229939577066385,2.3544823639674
2021-04-24,"1 wk ahead inc death","02","COVIDhub-baseline","Alaska",21,1.01108695652174,0,13.9391304347826,14.9502173913043
2021-04-24,"1 wk ahead inc death","02","COVIDhub-ensemble","Alaska",3,0.991304347826087,0,1,1.99130434782609
2021-04-24,"1 wk ahead inc death","02","CU-select","Alaska",7,4.86804347826087,0,0.304347826086957,5.17239130434783
2021-04-24,"1 wk ahead inc death","02","epiforecasts-ensemble1","Alaska",5,0.927391304347826,0,2.1304347826087,3.05782608695652
2021-04-24,"1 wk ahead inc death","02","JHU_CSSE-DECOM","Alaska",0.0836822621436764,0.622523394684232,0,0.0036383592236381,0.62616175390787
2021-04-24,"1 wk ahead inc death","02","JHUAPL-Bucky","Alaska",7.6721367e-08,8.23740559016522e-09,0,4.38677138747826e-08,5.21051194649478e-08
2021-04-24,"1 wk ahead inc death","02","Karlen-pypm","Alaska",5,0.475652173913044,0,3.08695652173913,3.56260869565217
2021-04-24,"1 wk ahead inc death","02","KITmetricslab-select_ensemble","Alaska",2.79779714928004,0.462211158660632,0,1.54027971557728,2.00249087423791
2021-04-24,"1 wk ahead inc death","02","LANL-GrowthRate","Alaska",1,1.4578347826087,0,0.217391304347826,1.67522608695652
2021-04-24,"1 wk ahead inc death","02","MIT_CritData-GBCF","Alaska",34,0.198695652173913,0,34,34.1986956521739
2021-04-24,"1 wk ahead inc death","02","MOBS-GLEAM_COVID","Alaska",3.90495486323104,0.732694816405894,0,2.09000800825673,2.82270282466263
2021-04-24,"1 wk ahead inc death","02","RobertWalraven-ESG","Alaska",9.32,0.865765217391304,0,5.42521739130435,6.29098260869565
2021-04-24,"1 wk ahead inc death","02","SteveMcConnell-CovidComplete","Alaska",2,0.391304347826087,0,1.11304347826087,1.50434782608696
2021-04-24,"1 wk ahead inc death","02","UA-EpiCovDA","Alaska",3,0.348260869565217,0,1.26086956521739,1.60913043478261
2021-04-24,"1 wk ahead inc death","02","UCSD_NEU-DeepGLEAM","Alaska",4.11075232688652,10.503252554166,0,0.178728362038544,10.6819809162045
2021-04-24,"1 wk ahead inc death","02","UMass-MechBayes","Alaska",2,0.39695652173913,0,0.869565217391304,1.26652173913043
2021-04-24,"1 wk ahead inc death","02","USC-SI_kJalpha","Alaska",1,0.171159309645865,0,0.881466227574986,1.05262553722085
2021-04-24,"1 wk ahead inc death","04","BPagano-RtDriven","Arizona",77.7435,2.44215734782609,66.7758782608696,0,69.2180356086956
2021-04-24,"1 wk ahead inc death","04","CEID-Walk","Arizona",45.822,12.5267356521739,13.9102608695652,0,26.4369965217391
2021-04-24,"1 wk ahead inc death","04","Covid19Sim-Simulator","Arizona",26.1048102207897,1.97029638090812,20.3834607261185,0,22.3537571070266
2021-04-24,"1 wk ahead inc death","04","CovidAnalytics-DELPHI","Arizona",53,7.1734433265015,24.0877479282948,0,31.2611912547963
2021-04-24,"1 wk ahead inc death","04","COVIDhub-baseline","Arizona",50,12.5903472177113,15.4129954777809,0,28.0033426954922
2021-04-24,"1 wk ahead inc death","04","COVIDhub-ensemble","Arizona",42,7.57086956521739,13.304347826087,0,20.8752173913043
2021-04-24,"1 wk ahead inc death","04","CU-select","Arizona",31,7.15326086956522,10.7391304347826,0,17.8923913043478
2021-04-24,"1 wk ahead inc death","04","epiforecasts-ensemble1","Arizona",16,9.84304347826087,1.91304347826087,0,11.7560869565217
2021-04-24,"1 wk ahead inc death","04","JHU_CSSE-DECOM","Arizona",28.8571395874023,6.11746605588907,9.34122336984852,0,15.4586894257376
2021-04-24,"1 wk ahead inc death","04","JHUAPL-Bucky","Arizona",74.1281749,5.20262580221304,44.1816991608696,0,49.3843249630826
2021-04-24,"1 wk ahead inc death","04","Karlen-pypm","Arizona",48,3.12434782608696,32.0869565217391,0,35.2113043478261
2021-04-24,"1 wk ahead inc death","04","KITmetricslab-select_ensemble","Arizona",42.9794532356194,5.12325629338008,20.0012462676752,0,25.1245025610552
2021-04-24,"1 wk ahead inc death","04","LANL-GrowthRate","Arizona",67,5.18744565217391,36.5652173913044,0,41.7526630434783
2021-04-24,"1 wk ahead inc death","04","MIT_CritData-GBCF","Arizona",5,0.198695652173913,4.04347826086957,0,4.24217391304348
2021-04-24,"1 wk ahead inc death","04","MOBS-GLEAM_COVID","Arizona",64.9892274894339,5.96513278643408,37.8975437565305,0,43.8626765429646
2021-04-24,"1 wk ahead inc death","04","RobertWalraven-ESG","Arizona",43.32,8.59306956521739,14.6834782608696,0,23.276547826087
2021-04-24,"1 wk ahead inc death","04","SteveMcConnell-CovidComplete","Arizona",38,5.74260869565217,12.6695652173913,0,18.4121739130435
2021-04-24,"1 wk ahead inc death","04","UA-EpiCovDA","Arizona",34,22.7934782608696,3.04347826086957,0,25.8369565217391
2021-04-24,"1 wk ahead inc death","04","UCSD_NEU-DeepGLEAM","Arizona",68.9715182342154,19.0472980397925,13.2894644408464,0,32.3367624806389
2021-04-24,"1 wk ahead inc death","04","UMass-MechBayes","Arizona",29,6.58521739130435,8.1304347826087,0,14.715652173913
2021-04-24,"1 wk ahead inc death","04","USC-SI_kJalpha","Arizona",16,1.18787022218784,12.0936369626023,0,13.2815071847902
2021-04-24,"1 wk ahead inc death","05","BPagano-RtDriven","Arkansas",10.95015,1.49015504782609,4.96819695652174,0,6.45835200434783
2021-04-24,"1 wk ahead inc death","05","CEID-Walk","Arkansas",6.896,4.11927869565217,0,1.24513043478261,5.36440913043478
2021-04-24,"1 wk ahead inc death","05","Covid19Sim-Simulator","Arkansas",3.8277675564859,0.432861322619523,0,1.70433136196295,2.13719268458247
2021-04-24,"1 wk ahead inc death","05","CovidAnalytics-DELPHI","Arkansas",17,1.83233831389848,8.51327392277626,0,10.3456122366747
2021-04-24,"1 wk ahead inc death","05","COVIDhub-baseline","Arkansas",8,5.17684130434783,0,1.20434782608696,6.38118913043478
2021-04-24,"1 wk ahead inc death","05","COVIDhub-ensemble","Arkansas",1,2.37347826086957,0,0.0434782608695652,2.41695652173913
2021-04-24,"1 wk ahead inc death","05","CU-select","Arkansas",2,6.96956521739131,0,0.0869565217391304,7.05652173913044
2021-04-24,"1 wk ahead inc death","05","epiforecasts-ensemble1","Arkansas",1,2.13565217391304,0,0.0434782608695652,2.17913043478261
2021-04-24,"1 wk ahead inc death","05","JHU_CSSE-DECOM","Arkansas",1,1.51280618646274,0,0.0434782608695652,1.55628444733231
2021-04-24,"1 wk ahead inc death","05","JHUAPL-Bucky","Arkansas",11.4892446,2.55691828060609,3.14109816521739,0,5.69801644582348
2021-04-24,"1 wk ahead inc death","05","Karlen-pypm","Arkansas",3,1.81608695652174,0,0.391304347826087,2.20739130434783
2021-04-24,"1 wk ahead inc death","05","KITmetricslab-select_ensemble","Arkansas",1.3187302987717,1.51531841547915,0.0881963763759347,0,1.60351479185509
2021-04-24,"1 wk ahead inc death","05","LANL-GrowthRate","Arkansas",13,2.17260869565217,0,5.52173913043478,7.69434782608696
2021-04-24,"1 wk ahead inc death","05","MIT_CritData-GBCF","Arkansas",23,0.198695652173913,0,23,23.1986956521739
2021-04-24,"1 wk ahead inc death","05","MOBS-GLEAM_COVID","Arkansas",4.05686247988276,2.16040805110111,0,0.560790144411575,2.72119819551269
2021-04-24,"1 wk ahead inc death","05","RobertWalraven-ESG","Arkansas",1.58,4.67380869565217,0.068695652173913,0,4.74250434782609
2021-04-24,"1 wk ahead inc death","05","SteveMcConnell-CovidComplete","Arkansas",1,2.12547826086957,0.0434782608695652,0,2.16895652173913
2021-04-24,"1 wk ahead inc death","05","UA-EpiCovDA","Arkansas",4,4.20217391304348,0,0.347826086956522,4.55
2021-04-24,"1 wk ahead inc death","05","UCSD_NEU-DeepGLEAM","Arkansas",0.590393894476371,16.6229553408176,0.0256692997598422,0,16.6486246405775
2021-04-24,"1 wk ahead inc death","05","UMass-MechBayes","Arkansas",2,1.59347826086957,0.173913043478261,0,1.76739130434783
2021-04-24,"1 wk ahead inc death","05","USC-SI_kJalpha","Arkansas",0,0.833261547904335,0,0,0.833261547904335
2021-04-24,"1 wk ahead inc death","06","BPagano-RtDriven","California",150.05101,22.3664893782609,0,64.1203517391304,86.4868411173913
2021-04-24,"1 wk ahead inc death","06","CEID-Walk","California",117.53,98.0530865217391,0,10.426347826087,108.479434347826
2021-04-24,"1 wk ahead inc death","06","Covid19Sim-Simulator","California",110.87083032728,7.41206677423352,0,79.46937309232,86.8814398665535
2021-04-24,"1 wk ahead inc death","06","CovidAnalytics-DELPHI","California",255,29.082623276026,0,130.325958804196,159.408582080222
2021-04-24,"1 wk ahead inc death","06","COVIDhub-baseline","California",158,35.1892826086956,0,63.6391304347826,98.8284130434783
2021-04-24,"1 wk ahead inc death","06","COVIDhub-ensemble","California",121,30.2286956521739,0,41.4347826086956,71.6634782608696
2021-04-24,"1 wk ahead inc death","06","CU-select","California",260,20.7869565217391,0,190.434782608696,211.221739130435
2021-04-24,"1 wk ahead inc death","06","epiforecasts-ensemble1","California",246,28.3534782608696,0,133.130434782609,161.483913043478
2021-04-24,"1 wk ahead inc death","06","JHU_CSSE-DECOM","California",16.0810157390655,33.6378976671433,0,0.699174597350676,34.337072264494
